ID,L1,L2,Query,Answer,Image,A-1 Scene Domain (Level 1),A-1 Subcategory (Code + Name),A-2 Layout Structure,A-2 Imaging Method,A-2 Font and Text Form,A-2 Geometry and Arrangement,A-2 Image Quality,A-2 Lighting and Screen,A-2 Natural Interference,A-2 Adversarial / Misleading Factors,A-2 Language,A-2 Mixed Layout,Scene Category,A-1 Subcategory_Merged,A-1 Subcategory_Merged 10 Classes
,doc_parsing,/Users/qinzubao/Downloads/ocr_datasets/doc_parsing/images/doc_parsing_custom_construction_sign_18/Construction_Sign_001.jpg,,,1--Construction_Sign_001.jpg,Scene Text,T06 Warning Signs / Notice Boards / Regulation Signs,Tables,Photo,Printed Text,Obvious Perspective Distortion,Clear,No Issue,Occlusion / Missing Content (Folds / Missing Corners / Cropping / Stains),No Interference,East Asian Text,Same-line Mixed Layout,multi_scene_ocr - Natural Scene,D09 Official Documents / Notices / Announcements / Letters,4-Legal & Public Notices
,doc_parsing,/Users/qinzubao/Downloads/ocr_datasets/doc_parsing/images/doc_parsing_custom_construction_sign_18/Construction_Sign_002.jpg,,,2--Construction_Sign_002.jpg,Scene Text,T06 Warning Signs / Notice Boards / Regulation Signs,Tables,Photo,Printed Text,Obvious Perspective Distortion,Clear,No Issue,Ticket Overlap / Multiple Receipts Stacked,No Interference,East Asian Text,Non-mixed Layout,,D09 Official Documents / Notices / Announcements / Letters,4-Legal & Public Notices
,doc_parsing,/Users/qinzubao/Downloads/ocr_datasets/doc_parsing/images/doc_parsing_custom_construction_sign_18/Construction_Sign_003.jpg,,,3--Construction_Sign_003.jpg,Scene Text,T06 Warning Signs / Notice Boards / Regulation Signs,Mixed Text and Images,Photo,Printed Text,Horizontal Layout,Clear,No Issue,No Issue,No Interference,East Asian Text,Non-mixed Layout,,D09 Official Documents / Notices / Announcements / Letters,4-Legal & Public Notices
,doc_parsing,/Users/qinzubao/Downloads/ocr_datasets/doc_parsing/images/doc_parsing_custom_construction_sign_18/Construction_Sign_005.jpg,,,4--Construction_Sign_005.jpg,Scene Text,T05 Parking / Traffic Restriction / Construction / Control Signs,Tables,Photo,Printed Text,Obvious Perspective Distortion,Clear,Reflection / Highlight Obstruction,Smearing / Masking / Privacy Redaction,No Interference,East Asian Text,Non-mixed Layout,,D09 Official Documents / Notices / Announcements / Letters,4-Legal & Public Notices
,doc_parsing,/Users/qinzubao/Downloads/ocr_datasets/doc_parsing/images/doc_parsing_custom_construction_sign_18/Construction_Sign_007.jpg,,,5--Construction_Sign_007.jpg,Scene Text,T06 Warning Signs / Notice Boards / Regulation Signs,Tables,Photo,Printed Text,Horizontal Layout,Clear,No Issue,No Issue,No Interference,East Asian Text,Same-line Mixed Layout,,D09 Official Documents / Notices / Announcements / Letters,4-Legal & Public Notices
,doc_parsing,/Users/qinzubao/Downloads/ocr_datasets/doc_parsing/images/doc_parsing_custom_construction_sign_18/Construction_Sign_008.jpg,,,6--Construction_Sign_008.jpg,Scene Text,T05 Parking / Traffic Restriction / Construction / Control Signs,Tables,Photo,Printed Text,Obvious Perspective Distortion,Clear,No Issue,Occlusion / Missing Content (Folds / Missing Corners / Cropping / Stains),No Interference,East Asian Text,Same-line Mixed Layout,,D09 Official Documents / Notices / Announcements / Letters,4-Legal & Public Notices
,doc_parsing,/Users/qinzubao/Downloads/ocr_datasets/doc_parsing/images/doc_parsing_custom_construction_sign_18/Construction_Sign_009.jpg,,,7--Construction_Sign_009.jpg,Scene Text,T06 Warning Signs / Notice Boards / Regulation Signs,Mixed Text and Images,Photo,Printed Text,Obvious Perspective Distortion,Clear,Shadows / Overexposure / Underexposure,Occlusion / Missing Content (Folds / Missing Corners / Cropping / Stains),No Interference,East Asian Text,Same-line Mixed Layout,,D09 Official Documents / Notices / Announcements / Letters,4-Legal & Public Notices
,doc_parsing,/Users/qinzubao/Downloads/ocr_datasets/doc_parsing/images/doc_parsing_custom_construction_sign_18/Construction_Sign_011.jpg,,,8--Construction_Sign_011.jpg,Scene Text,T05 Parking / Traffic Restriction / Construction / Control Signs,Forms / Key-Value,Photo,Printed Text,Obvious Perspective Distortion,Clear,Shadows / Overexposure / Underexposure,No Issue,No Interference,East Asian Text,Same-line Mixed Layout,,D09 Official Documents / Notices / Announcements / Letters,4-Legal & Public Notices
,doc_parsing,/Users/qinzubao/Downloads/ocr_datasets/doc_parsing/images/doc_parsing_custom_construction_sign_18/Construction_Sign_012.jpg,,,9--Construction_Sign_012.jpg,Scene Text,T06 Warning Signs / Notice Boards / Regulation Signs,Mixed Text and Images,Photo,Printed Text,Obvious Perspective Distortion,Clear,No Issue,No Issue,No Interference,East Asian Text,Same-line Mixed Layout,,D09 Official Documents / Notices / Announcements / Letters,4-Legal & Public Notices
,doc_parsing,/Users/qinzubao/Downloads/ocr_datasets/doc_parsing/images/doc_parsing_custom_construction_sign_18/Construction_Sign_013.jpg,,,10--Construction_Sign_013.jpg,Scene Text,T06 Warning Signs / Notice Boards / Regulation Signs,Tables,Photo,Printed Text,Horizontal Layout,Clear,Shadows / Overexposure / Underexposure,No Issue,No Interference,East Asian Text,Same-line Mixed Layout,,D09 Official Documents / Notices / Announcements / Letters,4-Legal & Public Notices
